gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
PEBP4-AS1,13.92849215926911,-0.07594641334619244,0.15486913474708858,0.0014847719635592011,0.10513811202199108
AKAP12,4145.467313835386,-0.9845660794618558,0.5205605822243909,0.00148700834112642,0.10513811202199108
ANXA1,163.5669642631465,0.7998068082844841,0.4110851747753459,0.0015053609919785387,0.1052336169511446
LINC00624,183.46167184527732,-0.9104609788879487,0.4794897067020602,0.0015060909909923876,0.1052336169511446
TFPI2,12.15413105868867,1.8711699788490714,0.9962725945631822,0.0015118900864444212,0.1052336169511446
GREB1,447.88523183054144,-0.6520705050766553,0.3272604696882564,0.0015124620851315444,0.1052336169511446
ANKRD62,100.44316802739083,-0.8476086526674201,0.44200339793622145,0.0015265068386245595,0.10532367072201874
MAPK4,39.8006152798157,1.1237829375660975,0.5956280119068923,0.0015298321769962554,0.10532367072201874
SYT2,84.62933639000313,-1.010148110295863,0.5387593578335622,0.001531849081733438,0.10532367072201874
LY6E,46.53836321931667,1.3109649536758452,0.7125708330998308,0.001538418138905333,0.1053605269719323
ANKRD36C,140.67502603361578,-0.0842444152311049,0.16512581544823013,0.0015511437924981128,0.10543091234637335
ZNF850,640.285269327165,-0.4783026998189055,0.22650915691370455,0.001551519953791683,0.10543091234637335
GIHCG,104.54135242481874,0.8074693911870497,0.420454286560239,0.0015680738867722697,0.10569552564775571
EPN2-AS1,28.24478996594874,-0.05569351976604906,0.1361124236469422,0.001570158367030015,0.10569552564775571
LINC02443,35.59806020852991,-0.09772954186480554,0.18513564728522058,0.0015735705833953553,0.10569552564775571
